"Variable","Coefficient","Std_Error","t_value","p_value","Significance"
"(Intercept)",-0.0101193229697778,0.00254469319722979,-3.97663772622724,7.00398384930554e-05,"***"
"academic_performance",0.0405884329227992,0.00267854014241638,15.1531919496205,1.06175214406096e-51,"***"
"relation_with_school",0.00343744534471231,0.00896012045995838,0.383638295944101,0.701248930257728,""
"child_relation_with_school",0.00143832077125909,0.0131020600113311,0.10977821579318,0.912585910262128,""
"school_type",-0.00812153540926449,0.005086017908247,-1.59683578701038,0.11031153066635,""
"house_environment",0.0613768387885054,0.00246810710952381,24.8679802232518,2.62149913648363e-135,"***"
"control_predictor_trad",0.0393869932012135,0.00139417682806316,28.2510743317483,1.35265412873993e-173,"***"
"gender_f_Female",0.128119114355459,0.00228998163513853,55.9476601862392,0,"***"
"urban_rural_f_Rural",-0.0211749244454017,0.00231326440180389,-9.15369831001137,5.7971857465986e-20,"***"
"work_type_f_Business",-0.0167939672956615,0.00250827373065557,-6.69542844961827,2.18352799799927e-11,"***"
"R-squared",0.177872859391385,NA,NA,NA,""
"Adj. R-squared",0.177657090574592,NA,NA,NA,""
"F-statistic",824.367774893725,NA,NA,NA,""
"Observations",34302,NA,NA,NA,""
