"Variable","Coefficient","Std_Error","t_value","p_value","Significance"
"(Intercept)",0.00445305045828087,0.00247871277404974,1.79651733145565,0.0724210753960059,""
"academic_performance",0.0661919985700949,0.00226372085395057,29.2403537541207,1.13965565955954e-185,"***"
"control_predictor_trad",0.0480558865897316,0.00135450637583206,35.4785237243431,8.45357510675223e-271,"***"
"gender_f_Female",0.136183207401138,0.00228308488211469,59.6487710413109,0,"***"
"urban_rural_f_Rural",-0.0272827888672781,0.0023177170570329,-11.7714061707796,6.31394638315637e-32,"***"
"work_type_f_Business",-0.0144070726573689,0.00252794294784054,-5.6991288785516,1.21406935558954e-08,"***"
"R-squared",0.162941952194773,NA,NA,NA,""
"Adj. R-squared",0.162819917839775,NA,NA,NA,""
"F-statistic",1335.21377809446,NA,NA,NA,""
"Observations",34302,NA,NA,NA,""
